id,model_code,name,description,base_price,is_active,category_id,subcategory_id,brand_id,supplier
1,100804,Renew AWARE™ rPET Zippered Tote,"A modern and sustainable update to a classic tote bag using recycled fabric and webbing made from plastic bottles. Front slash pocket for storing accessories. Zippered opening to large main compartment. Interior zippered pockets for additional storage.Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more.  Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",10.28,true,3,1,1,1
2,100805,Renew AWARE™ rPET Sling Bag,"A modern and sustainable update to a classic sling bag using recycled fabric and webbing made from plastic bottles. Front zippered pocket for storing accessories. Dual zippered opening to large main compartment. Adjustable, ambidextrous shoulder strap for customised wearing.Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",12.88,true,3,1,1,1
3,100806,Renew AWARE™ rPET 15'' laptop backpack,"A modern and sustainable update to a classic computer backpack using recycled fabric and webbing made from plastic bottles. Top dual zippered pocket for storing accessories. Front zippered pocket with key fob clip. Dual side water bottle pockets with compression straps. Rear padded, dual zippered laptop compartment (holds up to a 15"" laptop). Zippered main compartment includes interior pockets for organisation. Top grab handle. Padded back panel. Padded, adjustable shoulder straps. Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",45.24,true,3,2,1,1
4,101032,Renew AWARE™ rPET lunch cooler,"A modern and sustainable update to a classic lunch cooler using recycled fabric and webbing made from plastic bottles. Front zippered pocket for storing accessories. Dual zippered, angled opening to insulated main compartment. Adjustable, ambidextrous shoulder strap for customised wearing. Holds 9 cans. Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",14.86,true,6,15,1,1
5,101036,Renew AWARE™ rPET tote,"A modern and sustainable update to a classic tote bag using recycled fabric and webbing made from plastic bottles. Zippered opening to large main compartment. Interior sleeve for storing your hydration bottle. Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",8.98,true,3,1,1,1
6,101037,Renew AWARE™ rPET Toiletry Bag,"A modern and sustainable update to your go-to toiletry bag using recycled fabric and webbing made from plastic bottles. Front zippered pockets for storing travel essentials. Large zippered main compartment with interior pockets to keep your toiletries organised. Top grab handle. Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",11.58,true,3,7,1,1
7,101038,Renew AWARE™ rPET 3 Piece Packing Cube Set,"A modern and sustainable update to packing cubes using recycled fabric and webbing made from plastic bottles. Set of three packing cubes to keep you organised while travelling. Top grab handle on each packing cube for easy carrying convenience. Packing cubes nest together for easy storage when not in use. Large Cube: 15L 12H 3.5W. Medium Cube: 12.375L 5.5H 6W. Small Cube: 6.75L 11H 2.5W. Includes AWARE™ Virtual ID & Product passport, which delivers an indisputable way to track and validate textile composition impact from origin to consumer. To access, scan the QR code located inside the product or visit wearaware.co to learn more.  Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",16.76,true,3,7,1,1
8,101950,Aviana™ Rowan RCS Recycled Tumbler 500 ML,"Double-wall vacuum insulated tumbler keeps your beverages insulated longer. Made of high-grade, recycled 18/8 stainless steel with a sweatproof design. Single-serve friendly for the perfect cup of coffee every time. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",25.76,true,4,23,2,1
9,101952,Aviana™ Rowan RCS Recycled Water Bottle 470 ML,"Double-wall vacuum insulated bottle keeps your beverages insulated longer. Made of high-grade, RCS recycled 18/8 stainless steel with a sweatproof design. Two-piece lid system to accommodate wide or narrow flow. Available across both sides of the Atlantic. This item is also offered by Gemline for customers in the US and Canada.",21.86,true,4,22,2,1
10,V10200,VINGA Cott RCS RPET water bottle,"Stylish and minimalist water bottle made from 100% RCS certified RPET. Stay hydrated on the go with this handy water bottle, no matter the occasion. Large opening for easy cleaning. Hand wash only. This product is for cold drinks only. Total recycled content: 98% based on total item weight. BPA free.",4.38,true,4,22,3,1
